epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.933,0.66068,1.96164,0.94745,0.92461,0.43141,0.76785,0.61412,0.69324,2.99158,1.08162,0.000656566,0.000656566,0.000656566
2,48.5645,0.70348,1.13947,0.9753,0.91362,0.9598,0.97425,0.79895,0.6657,1.02671,1.01947,0.00130577,0.00130577,0.00130577
3,70.3662,0.68416,0.8102,0.96572,0.89847,0.92462,0.93286,0.75475,0.6886,0.94239,1.02077,0.00193737,0.00193737,0.00193737
4,92.8053,0.69937,0.67199,0.97326,0.87928,0.80402,0.88462,0.7168,0.70991,1.16915,1.05711,0.0019208,0.0019208,0.0019208
5,114.548,0.64952,0.56146,0.95604,0.97508,0.98306,0.9929,0.85667,0.57897,0.47505,0.95176,0.0018944,0.0018944,0.0018944
6,135.991,0.63077,0.49683,0.94582,0.9797,0.94975,0.98056,0.84524,0.57861,0.5426,0.95706,0.001868,0.001868,0.001868
7,157.697,0.6008,0.46253,0.93372,0.98499,0.98938,0.99411,0.85475,0.54389,0.47091,0.91458,0.0018416,0.0018416,0.0018416
8,179.394,0.59976,0.45286,0.93228,0.97991,0.98022,0.99418,0.87327,0.52934,0.42575,0.92716,0.0018152,0.0018152,0.0018152
9,200.038,0.5822,0.42993,0.92219,0.98789,0.98995,0.99475,0.87099,0.56292,0.56968,0.93723,0.0017888,0.0017888,0.0017888
10,221.669,0.56908,0.42558,0.92056,0.98979,0.97462,0.99248,0.87367,0.53421,0.42411,0.92257,0.0017624,0.0017624,0.0017624
11,243.182,0.56438,0.40699,0.92415,0.98412,1,0.9864,0.87295,0.49217,0.35484,0.91401,0.001736,0.001736,0.001736
12,263.627,0.54626,0.40362,0.91446,0.9652,0.99497,0.99421,0.88264,0.50166,0.35868,0.9151,0.0017096,0.0017096,0.0017096
13,283.721,0.56457,0.4072,0.92299,0.98502,0.96482,0.99324,0.87375,0.49754,0.34181,0.89073,0.0016832,0.0016832,0.0016832
14,303.958,0.55314,0.39126,0.91384,0.97988,0.97893,0.99202,0.87071,0.51963,0.35508,0.89915,0.0016568,0.0016568,0.0016568
15,324.104,0.53968,0.38478,0.90695,0.99393,1,0.9949,0.88729,0.49035,0.32617,0.9092,0.0016304,0.0016304,0.0016304
16,344.254,0.5327,0.37776,0.90869,0.99955,1,0.995,0.89871,0.47038,0.31075,0.88252,0.001604,0.001604,0.001604
17,364.359,0.5201,0.36768,0.90171,0.99964,1,0.995,0.89841,0.46363,0.28359,0.89692,0.0015776,0.0015776,0.0015776
18,384.522,0.51073,0.35619,0.89892,0.99957,1,0.995,0.903,0.44796,0.29245,0.86197,0.0015512,0.0015512,0.0015512
19,405.302,0.509,0.35222,0.9001,0.98893,0.9799,0.99374,0.87794,0.50115,0.34964,0.90215,0.0015248,0.0015248,0.0015248
20,425.064,0.51929,0.35532,0.90712,0.99967,1,0.995,0.89909,0.44137,0.28214,0.8681,0.0014984,0.0014984,0.0014984
21,444.871,0.50177,0.34551,0.89631,0.99454,1,0.9949,0.90484,0.43014,0.28436,0.85267,0.001472,0.001472,0.001472
22,464.834,0.49822,0.33905,0.89306,0.99916,1,0.995,0.90939,0.43317,0.27917,0.85044,0.0014456,0.0014456,0.0014456
23,484.979,0.49587,0.33766,0.88984,0.99959,1,0.995,0.89587,0.45224,0.27496,0.86708,0.0014192,0.0014192,0.0014192
24,505.132,0.50114,0.33772,0.89195,0.99902,1,0.995,0.90458,0.45724,0.29245,0.86516,0.0013928,0.0013928,0.0013928
25,525.34,0.50384,0.33625,0.90164,0.99486,0.99497,0.9947,0.90499,0.45782,0.29823,0.86896,0.0013664,0.0013664,0.0013664
26,545.576,0.48874,0.32806,0.89899,0.99959,1,0.995,0.90401,0.43767,0.27432,0.86048,0.00134,0.00134,0.00134
27,565.716,0.49318,0.3276,0.90195,0.99881,1,0.995,0.90408,0.42795,0.27197,0.85334,0.0013136,0.0013136,0.0013136
28,585.929,0.48383,0.32739,0.89004,0.99964,1,0.995,0.91251,0.42882,0.26685,0.85462,0.0012872,0.0012872,0.0012872
