epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,886.545,1.15692,3.9883,0.95929,0.44402,0.75973,0.51132,0.34439,1.12557,4.14121,0.85789,0.00022175,0.00022175,0.00022175
2,1738.95,1.18963,2.63762,0.97933,0.52283,0.79759,0.57777,0.35327,1.24931,2.98627,0.87773,0.000439687,0.000439687,0.000439687
3,2617.12,1.1858,2.04088,0.97808,0.48368,0.79893,0.55358,0.36887,1.13204,2.06105,0.89051,0.000653221,0.000653221,0.000653221
4,3488.67,1.14918,1.6299,0.97883,0.51419,0.87338,0.63792,0.42675,1.127,1.4866,0.85141,0.00064719,0.00064719,0.00064719
5,4380.7,1.12425,1.41829,0.95757,0.4988,0.8458,0.62822,0.43828,1.03054,1.58186,0.84696,0.000640587,0.000640587,0.000640587
6,5236.65,1.09632,1.31256,0.95089,0.56961,0.84019,0.65557,0.46245,1.05549,1.2076,0.82653,0.000633983,0.000633983,0.000633983
7,6084.41,1.05936,1.22016,0.94608,0.56671,0.81569,0.68271,0.48486,1.02055,1.20061,0.83579,0.00062738,0.00062738,0.00062738
8,6932.91,1.05321,1.18841,0.93523,0.60346,0.86842,0.74023,0.51458,1.07772,1.09019,0.83129,0.000620777,0.000620777,0.000620777
9,7789.07,1.01707,1.11684,0.92528,0.61973,0.88148,0.73129,0.5269,0.98794,0.99901,0.82384,0.000614174,0.000614174,0.000614174
10,8668.11,1.00663,1.10796,0.92489,0.61023,0.90167,0.74888,0.53819,0.99544,1.04007,0.82359,0.00060757,0.00060757,0.00060757
11,9547.68,0.98355,1.07166,0.91899,0.62463,0.83267,0.74436,0.55358,0.91812,1.02238,0.8126,0.000600967,0.000600967,0.000600967
12,10408.1,0.97981,1.05406,0.91443,0.65933,0.83043,0.77049,0.57167,0.92266,0.91913,0.81263,0.000594364,0.000594364,0.000594364
13,11288.1,0.97102,1.00865,0.92379,0.67049,0.87242,0.78638,0.55713,1.01781,0.91281,0.81819,0.00058776,0.00058776,0.00058776
14,12187.5,0.96453,1.00643,0.91327,0.67395,0.88441,0.78972,0.57731,0.98502,0.89046,0.8266,0.000581157,0.000581157,0.000581157
15,13066.9,0.9527,0.97658,0.91122,0.68779,0.89201,0.81049,0.61456,0.86411,0.91005,0.80644,0.000574554,0.000574554,0.000574554
16,13894.1,0.94387,0.97184,0.91345,0.70438,0.89628,0.81796,0.59534,0.97193,0.8354,0.81887,0.00056795,0.00056795,0.00056795
17,14695.3,0.93256,0.9677,0.91123,0.70745,0.89651,0.82326,0.61062,0.94834,0.84161,0.81261,0.000561347,0.000561347,0.000561347
18,15488.4,0.93136,0.93032,0.90503,0.7103,0.85426,0.81434,0.61035,0.90637,0.83189,0.81341,0.000554744,0.000554744,0.000554744
19,16281.8,0.90986,0.93888,0.90259,0.71662,0.93375,0.82516,0.60962,0.95509,0.8378,0.82382,0.000548141,0.000548141,0.000548141
20,17069.1,0.93282,0.90006,0.90356,0.73056,0.89072,0.84532,0.64528,0.88757,0.77743,0.80672,0.000541537,0.000541537,0.000541537
21,17858.9,0.90846,0.90015,0.91072,0.73078,0.91797,0.85238,0.62376,0.9705,0.79907,0.82281,0.000534934,0.000534934,0.000534934
22,18648.7,0.90037,0.86741,0.8959,0.73323,0.87397,0.85116,0.65252,0.9025,0.79216,0.80466,0.000528331,0.000528331,0.000528331
23,19436.2,0.89761,0.87059,0.89871,0.70411,0.88491,0.83652,0.63725,0.88622,0.7894,0.80691,0.000521727,0.000521727,0.000521727
24,20227.6,0.88842,0.85574,0.90329,0.74676,0.90712,0.85585,0.6618,0.86077,0.74685,0.80192,0.000515124,0.000515124,0.000515124
25,21016.8,0.88657,0.83651,0.89274,0.7537,0.89279,0.86698,0.67143,0.81375,0.73963,0.7992,0.000508521,0.000508521,0.000508521
26,21807.7,0.87694,0.82156,0.89216,0.72349,0.91521,0.87659,0.67939,0.81857,0.75045,0.79826,0.000501917,0.000501917,0.000501917
27,22596.4,0.88461,0.84102,0.89532,0.76946,0.92985,0.8763,0.6773,0.85094,0.72236,0.79419,0.000495314,0.000495314,0.000495314
28,23384.6,0.87183,0.8096,0.89517,0.77559,0.91392,0.89214,0.70146,0.83115,0.70667,0.80213,0.000488711,0.000488711,0.000488711
29,24171.9,0.87016,0.79753,0.88848,0.77625,0.94536,0.88692,0.68031,0.83084,0.67471,0.79968,0.000482108,0.000482108,0.000482108
30,24961.3,0.85981,0.76224,0.88922,0.81404,0.89087,0.8992,0.69045,0.85375,0.66489,0.79673,0.000475504,0.000475504,0.000475504
31,25749.2,0.86149,0.78813,0.89171,0.8014,0.93418,0.89654,0.70541,0.81351,0.67811,0.79503,0.000468901,0.000468901,0.000468901
32,26536.6,0.85569,0.76471,0.88654,0.82496,0.89136,0.89793,0.69769,0.82915,0.65708,0.79724,0.000462298,0.000462298,0.000462298
33,27324.7,0.84297,0.76729,0.88445,0.82166,0.91546,0.90188,0.70878,0.81573,0.64567,0.79227,0.000455694,0.000455694,0.000455694
34,28113.3,0.85469,0.75339,0.88552,0.83137,0.90543,0.90922,0.70999,0.80891,0.62607,0.79407,0.000449091,0.000449091,0.000449091
35,28900.6,0.84175,0.74036,0.8822,0.78163,0.90317,0.90803,0.71943,0.81187,0.67534,0.79699,0.000442488,0.000442488,0.000442488
36,29688.3,0.84019,0.74283,0.88147,0.83258,0.90464,0.91554,0.72712,0.79707,0.61606,0.79412,0.000435884,0.000435884,0.000435884
37,30476.4,0.83071,0.71116,0.88258,0.84014,0.91127,0.90893,0.72142,0.80227,0.62488,0.79241,0.000429281,0.000429281,0.000429281
38,31273.5,0.83748,0.71457,0.88151,0.80943,0.92035,0.90443,0.7171,0.78947,0.62229,0.7926,0.000422678,0.000422678,0.000422678
39,32066.3,0.83535,0.7012,0.88201,0.84258,0.92424,0.92539,0.72561,0.81318,0.62176,0.79968,0.000416075,0.000416075,0.000416075
40,32854.5,0.82483,0.69711,0.87959,0.86069,0.89289,0.91723,0.72684,0.82837,0.61286,0.78944,0.000409471,0.000409471,0.000409471
41,33642.6,0.82444,0.69689,0.88553,0.81378,0.9435,0.91573,0.71951,0.80914,0.59845,0.79271,0.000402868,0.000402868,0.000402868
42,34429.1,0.8056,0.69655,0.88044,0.82504,0.94648,0.93011,0.71989,0.84456,0.6152,0.79292,0.000396265,0.000396265,0.000396265
43,35216.8,0.81584,0.67601,0.881,0.86036,0.93085,0.93711,0.74796,0.79952,0.58992,0.795,0.000389661,0.000389661,0.000389661
44,36003.9,0.82179,0.67915,0.88726,0.85411,0.93564,0.93668,0.73795,0.78937,0.5722,0.79262,0.000383058,0.000383058,0.000383058
45,36794.6,0.80504,0.66321,0.87899,0.87664,0.93861,0.9361,0.73949,0.80037,0.56663,0.79358,0.000376455,0.000376455,0.000376455
46,37583.7,0.79248,0.65459,0.87417,0.87155,0.92625,0.93763,0.73981,0.80354,0.56803,0.79423,0.000369851,0.000369851,0.000369851
47,38370.3,0.79139,0.64971,0.87346,0.86455,0.93655,0.94185,0.74603,0.78453,0.56115,0.79204,0.000363248,0.000363248,0.000363248
48,39156.8,0.79725,0.63542,0.87222,0.86642,0.91913,0.93663,0.7475,0.78472,0.56979,0.78678,0.000356645,0.000356645,0.000356645
49,39947.6,0.78669,0.63792,0.87004,0.89178,0.92608,0.94646,0.7565,0.76206,0.54771,0.78607,0.000350042,0.000350042,0.000350042
50,40741.9,0.80493,0.65691,0.8752,0.87053,0.93316,0.93394,0.74446,0.7733,0.56043,0.7855,0.000343438,0.000343438,0.000343438
51,41539.5,0.79286,0.62743,0.86993,0.89639,0.93577,0.94398,0.75053,0.76384,0.54155,0.78735,0.000336835,0.000336835,0.000336835
52,42330.7,0.79548,0.62415,0.86894,0.88341,0.93715,0.94535,0.75898,0.73979,0.53082,0.79075,0.000330232,0.000330232,0.000330232
53,43121.6,0.77637,0.61722,0.87215,0.89239,0.92109,0.94584,0.75713,0.75822,0.54952,0.7854,0.000323628,0.000323628,0.000323628
54,43914.1,0.77911,0.61111,0.87273,0.88623,0.9428,0.94953,0.76242,0.76681,0.52959,0.78679,0.000317025,0.000317025,0.000317025
55,44706.4,0.7761,0.60274,0.86652,0.86218,0.95191,0.94707,0.75719,0.76396,0.54704,0.78508,0.000310422,0.000310422,0.000310422
56,45497.3,0.77141,0.58942,0.86606,0.86485,0.95257,0.95302,0.7648,0.7422,0.51589,0.78757,0.000303818,0.000303818,0.000303818
57,46290,0.77042,0.59033,0.86687,0.90007,0.94405,0.95344,0.7675,0.75598,0.51798,0.78507,0.000297215,0.000297215,0.000297215
58,47076.7,0.76363,0.58522,0.86442,0.89146,0.9286,0.94797,0.76145,0.75021,0.53462,0.78428,0.000290612,0.000290612,0.000290612
59,47863.7,0.7758,0.58873,0.86646,0.91916,0.91364,0.95571,0.76946,0.76271,0.51038,0.78732,0.000284009,0.000284009,0.000284009
60,48651.7,0.75853,0.56715,0.86172,0.90542,0.93963,0.95979,0.77273,0.7591,0.50105,0.78192,0.000277405,0.000277405,0.000277405
61,49437.7,0.7548,0.56394,0.86826,0.90781,0.94717,0.95879,0.77289,0.75487,0.49448,0.78623,0.000270802,0.000270802,0.000270802
62,50224.9,0.75962,0.56446,0.86696,0.91771,0.93438,0.96402,0.78311,0.74392,0.49084,0.78336,0.000264199,0.000264199,0.000264199
63,51012.2,0.75625,0.55671,0.85935,0.90893,0.95403,0.96043,0.77752,0.74166,0.48282,0.78439,0.000257595,0.000257595,0.000257595
64,51799.4,0.75381,0.5524,0.86135,0.90021,0.94368,0.95932,0.77754,0.74158,0.4827,0.78399,0.000250992,0.000250992,0.000250992
65,52586.9,0.74661,0.55126,0.86492,0.92953,0.92217,0.95992,0.77592,0.73326,0.49198,0.78217,0.000244389,0.000244389,0.000244389
66,53374.5,0.74825,0.54817,0.85498,0.89154,0.94829,0.95791,0.77179,0.72924,0.50211,0.78482,0.000237785,0.000237785,0.000237785
67,54161.3,0.74942,0.53349,0.86027,0.91132,0.94523,0.95587,0.77007,0.74137,0.50104,0.78375,0.000231182,0.000231182,0.000231182
68,54949.3,0.75232,0.54165,0.85983,0.89792,0.95924,0.96374,0.78045,0.73407,0.47988,0.78223,0.000224579,0.000224579,0.000224579
69,55736.2,0.74349,0.52903,0.85636,0.92399,0.93511,0.96084,0.78041,0.72847,0.47983,0.78052,0.000217976,0.000217976,0.000217976
70,56522.4,0.73632,0.5369,0.86073,0.93823,0.93099,0.9621,0.77895,0.72967,0.48436,0.77926,0.000211372,0.000211372,0.000211372
71,57310.1,0.74135,0.52939,0.85067,0.93385,0.93885,0.96028,0.7789,0.7265,0.48186,0.78024,0.000204769,0.000204769,0.000204769
72,58097.7,0.74063,0.51968,0.85693,0.90054,0.94647,0.96101,0.7838,0.7191,0.48793,0.77884,0.000198166,0.000198166,0.000198166
73,58885.2,0.73472,0.51647,0.85626,0.92797,0.93956,0.96145,0.78168,0.73773,0.47934,0.77805,0.000191562,0.000191562,0.000191562
74,59677.4,0.72898,0.50953,0.85806,0.93266,0.94121,0.96107,0.78231,0.73045,0.47825,0.77876,0.000184959,0.000184959,0.000184959
75,60469.8,0.71655,0.50977,0.85595,0.91939,0.94553,0.96638,0.78654,0.7313,0.4658,0.78154,0.000178356,0.000178356,0.000178356
76,61263.2,0.72596,0.51442,0.85588,0.92996,0.93443,0.96862,0.78865,0.73567,0.47066,0.78074,0.000171752,0.000171752,0.000171752
77,62059.9,0.71759,0.49905,0.85431,0.94366,0.93345,0.96722,0.78911,0.72437,0.46338,0.7805,0.000165149,0.000165149,0.000165149
78,62852.1,0.72677,0.5001,0.85188,0.93049,0.93668,0.96637,0.78558,0.73375,0.4727,0.78064,0.000158546,0.000158546,0.000158546
79,63645,0.71387,0.49315,0.85232,0.9325,0.93518,0.96316,0.78284,0.73823,0.4714,0.7809,0.000151943,0.000151943,0.000151943
80,64436,0.71843,0.48857,0.85503,0.93821,0.94009,0.97116,0.79026,0.72826,0.45777,0.77967,0.000145339,0.000145339,0.000145339
81,65232.7,0.71542,0.48648,0.85342,0.94088,0.93159,0.96852,0.78706,0.73272,0.4597,0.7804,0.000138736,0.000138736,0.000138736
82,66031.8,0.71447,0.47897,0.85427,0.93062,0.94262,0.96722,0.78724,0.72804,0.46967,0.77929,0.000132133,0.000132133,0.000132133
83,66819.1,0.70669,0.47444,0.85109,0.92637,0.9383,0.96411,0.7833,0.73653,0.47167,0.77894,0.000125529,0.000125529,0.000125529
84,67607.7,0.70838,0.46136,0.84978,0.92402,0.94497,0.96855,0.78886,0.7266,0.4561,0.77962,0.000118926,0.000118926,0.000118926
85,68395,0.70331,0.47005,0.84995,0.92466,0.95998,0.97372,0.79387,0.72533,0.44427,0.77959,0.000112323,0.000112323,0.000112323
86,69183.7,0.6917,0.4616,0.85072,0.91256,0.96652,0.97144,0.79556,0.72494,0.44778,0.77946,0.00010572,0.00010572,0.00010572
87,69970.7,0.69092,0.46145,0.84993,0.91821,0.94824,0.96879,0.7925,0.72099,0.45755,0.7787,9.91162e-05,9.91162e-05,9.91162e-05
88,70758.8,0.69471,0.45518,0.84905,0.9299,0.94945,0.97004,0.79148,0.71903,0.45108,0.77654,9.25129e-05,9.25129e-05,9.25129e-05
89,71551.1,0.68144,0.4527,0.84645,0.93643,0.95137,0.97182,0.7911,0.73081,0.45039,0.77761,8.59096e-05,8.59096e-05,8.59096e-05
90,72350.9,0.68665,0.44396,0.85297,0.93426,0.95889,0.97142,0.78994,0.72884,0.44856,0.77822,7.93063e-05,7.93063e-05,7.93063e-05
91,73137.4,0.68023,0.37968,0.81989,0.9265,0.95475,0.96958,0.78966,0.7253,0.45331,0.77863,7.2703e-05,7.2703e-05,7.2703e-05
92,73920,0.67715,0.36722,0.81832,0.92374,0.96255,0.96993,0.78867,0.72446,0.45589,0.77884,6.60997e-05,6.60997e-05,6.60997e-05
93,74701.2,0.66186,0.36439,0.81532,0.94022,0.95243,0.97085,0.79037,0.71991,0.44829,0.77836,5.94964e-05,5.94964e-05,5.94964e-05
94,75482.5,0.66738,0.3638,0.81803,0.94603,0.94973,0.97233,0.79329,0.71665,0.4432,0.77811,5.28931e-05,5.28931e-05,5.28931e-05
95,76276.5,0.66779,0.35863,0.81712,0.91797,0.97175,0.97319,0.79386,0.71751,0.44008,0.77825,4.62898e-05,4.62898e-05,4.62898e-05
96,77087.4,0.66417,0.35102,0.81488,0.92085,0.97509,0.97263,0.7926,0.72069,0.44322,0.779,3.96865e-05,3.96865e-05,3.96865e-05
97,77971.3,0.65893,0.35006,0.81385,0.94203,0.9539,0.97342,0.79455,0.71943,0.43985,0.77875,3.30832e-05,3.30832e-05,3.30832e-05
98,78846,0.65562,0.3516,0.81332,0.9401,0.95109,0.97352,0.79505,0.71758,0.43858,0.77807,2.64799e-05,2.64799e-05,2.64799e-05
99,79692.1,0.65597,0.34778,0.81474,0.94265,0.95107,0.97379,0.79376,0.71682,0.43569,0.77827,1.98766e-05,1.98766e-05,1.98766e-05
100,80550.4,0.65697,0.34792,0.81491,0.94353,0.95202,0.97338,0.79453,0.71559,0.43547,0.77781,1.32733e-05,1.32733e-05,1.32733e-05
