epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.00909,1.83151,0.90138,0.99618,0.51868,0.000220969,0.000220969,0.000220969
2,13.8063,0.52269,0.96865,0.99847,0.10225,0.000437451,0.000437451,0.000437451
3,19.0569,0.33982,0.98394,1,0.05499,0.000648063,0.000648063,0.000648063
4,24.2523,0.28918,0.99388,1,0.03051,0.000640587,0.000640587,0.000640587
5,29.5107,0.21961,0.99083,0.99924,0.03234,0.000631782,0.000631782,0.000631782
6,34.7841,0.21579,0.99083,0.99924,0.03164,0.000622978,0.000622978,0.000622978
7,40.0004,0.20364,0.99541,1,0.01977,0.000614174,0.000614174,0.000614174
8,45.2914,0.17109,0.99235,0.99924,0.02732,0.000605369,0.000605369,0.000605369
9,50.5923,0.168,0.99847,0.99924,0.00867,0.000596565,0.000596565,0.000596565
10,55.8347,0.14646,0.99694,0.99924,0.01351,0.00058776,0.00058776,0.00058776
11,61.1062,0.14655,0.99771,1,0.00969,0.000578956,0.000578956,0.000578956
12,66.4565,0.14004,0.99771,1,0.00933,0.000570152,0.000570152,0.000570152
13,71.7014,0.13041,0.99924,1,0.00698,0.000561347,0.000561347,0.000561347
14,76.98,0.12968,0.99771,0.99924,0.00804,0.000552543,0.000552543,0.000552543
15,82.234,0.13286,0.99924,1,0.00521,0.000543738,0.000543738,0.000543738
16,87.5722,0.13035,0.99847,1,0.00414,0.000534934,0.000534934,0.000534934
17,92.9465,0.11917,0.99847,1,0.00522,0.00052613,0.00052613,0.00052613
18,98.2274,0.12846,0.99924,1,0.0064,0.000517325,0.000517325,0.000517325
19,103.549,0.11528,0.99847,0.99924,0.00912,0.000508521,0.000508521,0.000508521
20,108.939,0.11068,0.99847,0.99924,0.00469,0.000499716,0.000499716,0.000499716
21,114.26,0.10911,0.99847,0.99924,0.00826,0.000490912,0.000490912,0.000490912
22,119.611,0.10641,0.99847,1,0.00518,0.000482108,0.000482108,0.000482108
23,124.993,0.09765,0.99847,0.99924,0.00477,0.000473303,0.000473303,0.000473303
24,130.434,0.09676,0.99924,1,0.00385,0.000464499,0.000464499,0.000464499
25,135.836,0.10225,0.99847,1,0.00387,0.000455694,0.000455694,0.000455694
26,141.155,0.10322,0.99847,1,0.00356,0.00044689,0.00044689,0.00044689
27,146.528,0.10369,1,1,0.00195,0.000438086,0.000438086,0.000438086
28,151.923,0.10832,0.99924,1,0.00236,0.000429281,0.000429281,0.000429281
29,157.285,0.10121,0.99924,1,0.00248,0.000420477,0.000420477,0.000420477
30,162.642,0.08753,1,1,0.00082,0.000411672,0.000411672,0.000411672
31,168.051,0.09268,1,1,0.00058,0.000402868,0.000402868,0.000402868
32,173.39,0.09345,0.99847,1,0.00364,0.000394064,0.000394064,0.000394064
33,178.693,0.07015,0.99924,1,0.00221,0.000385259,0.000385259,0.000385259
34,184.001,0.09678,0.99847,0.99924,0.00409,0.000376455,0.000376455,0.000376455
35,189.323,0.0813,0.99924,1,0.00248,0.00036765,0.00036765,0.00036765
