epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2999,0.70894,1.70447,0.99589,0.58603,0.8169,0.75788,0.56314,0.79553,1.73938,1.16338,0.000661017,0.000661017,0.000661017
2,74.4164,0.72748,0.87553,1.00076,0.95773,0.9662,0.9875,0.80958,0.69006,0.61223,1.01307,0.00131016,0.00131016,0.00131016
3,108.965,0.71267,0.63194,0.99194,0.95442,0.94385,0.98288,0.79464,0.71935,0.64155,1.05574,0.0019417,0.0019417,0.0019417
4,143.491,0.69802,0.54485,0.9843,0.97242,0.99437,0.99399,0.83386,0.64388,0.4944,1.00074,0.0019208,0.0019208,0.0019208
5,178.222,0.67224,0.49899,0.97806,0.98537,0.95775,0.9875,0.804,0.71512,0.50802,1.05293,0.0018944,0.0018944,0.0018944
6,212.76,0.66213,0.47081,0.97843,0.99494,0.99155,0.99494,0.84965,0.60773,0.41004,0.9758,0.001868,0.001868,0.001868
7,247.288,0.63026,0.44216,0.95605,0.97114,0.94776,0.98882,0.84332,0.60261,0.4369,0.97596,0.0018416,0.0018416,0.0018416
8,281.783,0.62659,0.4302,0.96152,0.98885,0.99934,0.99494,0.87494,0.53279,0.39877,0.92885,0.0018152,0.0018152,0.0018152
9,316.327,0.60045,0.4085,0.94591,0.99069,0.99718,0.99477,0.86617,0.54516,0.37122,0.9305,0.0017888,0.0017888,0.0017888
10,350.832,0.59024,0.40216,0.93722,0.97085,0.97746,0.99359,0.86449,0.55457,0.36482,0.94199,0.0017624,0.0017624,0.0017624
11,385.327,0.58749,0.39516,0.94074,0.99623,0.99437,0.99475,0.8775,0.52515,0.32785,0.93134,0.001736,0.001736,0.001736
12,419.828,0.58091,0.38581,0.93445,0.98588,0.98316,0.99431,0.86174,0.57126,0.36273,0.94775,0.0017096,0.0017096,0.0017096
13,454.317,0.57539,0.38236,0.93495,0.99719,0.99965,0.99497,0.88488,0.49975,0.3135,0.90169,0.0016832,0.0016832,0.0016832
14,488.829,0.56111,0.36507,0.93087,0.99681,1,0.99486,0.87871,0.5154,0.31388,0.91091,0.0016568,0.0016568,0.0016568
15,523.362,0.54939,0.3594,0.92669,1,0.99646,0.995,0.88277,0.49062,0.30645,0.8978,0.0016304,0.0016304,0.0016304
16,557.847,0.55426,0.35541,0.92266,0.996,0.99437,0.995,0.88605,0.51009,0.30968,0.91486,0.001604,0.001604,0.001604
17,592.354,0.54051,0.3522,0.92056,0.99905,1,0.995,0.8846,0.49123,0.29441,0.89873,0.0015776,0.0015776,0.0015776
18,626.811,0.53688,0.34322,0.9147,0.99971,1,0.995,0.89065,0.49458,0.29187,0.88815,0.0015512,0.0015512,0.0015512
19,661.3,0.52928,0.34178,0.91901,0.99989,1,0.995,0.8979,0.47258,0.28541,0.88674,0.0015248,0.0015248,0.0015248
20,695.811,0.52884,0.33749,0.91511,0.99977,1,0.995,0.89199,0.4822,0.2741,0.89229,0.0014984,0.0014984,0.0014984
21,730.335,0.52549,0.33642,0.91794,0.99959,1,0.995,0.90017,0.45968,0.26763,0.88189,0.001472,0.001472,0.001472
22,764.833,0.51772,0.3303,0.90824,0.99908,1,0.995,0.89755,0.46232,0.27179,0.88427,0.0014456,0.0014456,0.0014456
23,799.328,0.51386,0.32887,0.9067,0.9994,0.99718,0.995,0.90062,0.44605,0.26471,0.87664,0.0014192,0.0014192,0.0014192
24,833.793,0.50247,0.31828,0.90537,0.99976,1,0.995,0.89971,0.44952,0.26324,0.88373,0.0013928,0.0013928,0.0013928
25,867.601,0.50259,0.31519,0.90387,0.99697,1,0.995,0.902,0.45009,0.26196,0.87898,0.0013664,0.0013664,0.0013664
26,901.403,0.50266,0.31764,0.90653,0.99966,1,0.995,0.90821,0.44332,0.25915,0.87379,0.00134,0.00134,0.00134
27,935.213,0.5028,0.31244,0.90599,0.9998,1,0.995,0.90252,0.44291,0.25296,0.87512,0.0013136,0.0013136,0.0013136
28,968.961,0.49657,0.30907,0.90515,0.99911,1,0.995,0.90351,0.44861,0.24912,0.87498,0.0012872,0.0012872,0.0012872
29,1002.77,0.49376,0.30814,0.90514,0.99718,1,0.995,0.8982,0.45957,0.26234,0.88725,0.0012608,0.0012608,0.0012608
30,1036.57,0.49565,0.30573,0.90511,0.99972,1,0.995,0.90576,0.45346,0.24722,0.88084,0.0012344,0.0012344,0.0012344
31,1070.4,0.48004,0.29574,0.89245,0.9989,1,0.995,0.90145,0.4513,0.26081,0.8767,0.001208,0.001208,0.001208
32,1104.21,0.4786,0.29255,0.89413,0.99979,1,0.995,0.90754,0.44428,0.25051,0.87903,0.0011816,0.0011816,0.0011816
33,1138.03,0.47844,0.29478,0.89648,0.9997,1,0.995,0.9055,0.43992,0.24799,0.86978,0.0011552,0.0011552,0.0011552
34,1171.8,0.46932,0.29089,0.88552,0.99699,1,0.99492,0.90629,0.42817,0.2356,0.86722,0.0011288,0.0011288,0.0011288
35,1205.93,0.47245,0.291,0.89426,0.99918,1,0.995,0.90957,0.43213,0.24816,0.87186,0.0011024,0.0011024,0.0011024
