epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3364,0.84467,2.82066,1.03555,0.00333,1,0.95826,0.81024,0.61886,2.57416,0.86321,0.00012,0.00012,0.00012
2,143.498,0.84262,1.51355,0.96435,1,0.95769,0.99318,0.70239,0.93436,1.51906,0.93491,0.000256568,0.000256568,0.000256568
3,214.285,0.84695,1.13489,0.97752,0.99807,0.93548,0.97586,0.80624,0.71592,1.18691,0.92246,0.00038944,0.00038944,0.00038944
4,285.189,0.87747,1.07114,0.9925,1,0.95242,0.99014,0.72491,0.89627,1.53081,0.97501,0.000518616,0.000518616,0.000518616
5,355.999,0.95942,1.08675,1.01223,1,0.96054,0.96553,0.74152,0.88851,1.45607,0.97011,0.000644096,0.000644096,0.000644096
6,426.726,0.89886,1.06075,1.02999,0.99508,0.93548,0.95913,0.76694,0.80192,1.39956,0.91721,0.00076588,0.00076588,0.00076588
7,497.398,0.87011,1.00627,1.01603,0.99638,0.93548,0.95147,0.79426,0.73159,1.23086,0.90597,0.000883968,0.000883968,0.000883968
8,568.196,0.95804,1.06775,1.02793,0.95708,0.93548,0.95102,0.7423,0.84276,1.49684,0.97359,0.00099836,0.00099836,0.00099836
9,639.183,0.94815,1.03795,1.07986,0.9266,0.81463,0.9238,0.68576,0.90278,1.75915,1.00035,0.00110906,0.00110906,0.00110906
10,709.766,0.96249,0.98248,1.07203,0.60542,0.49524,0.52931,0.40105,0.90474,2.5897,1.05453,0.00121606,0.00121606,0.00121606
11,780.326,0.93304,0.98833,1.04137,0.92013,0.54839,0.6664,0.45242,1.04516,2.26065,1.10765,0.00131936,0.00131936,0.00131936
12,851.35,0.83947,0.89329,1.00883,0.93042,0.86287,0.93238,0.72772,0.80021,1.26397,0.94329,0.00141897,0.00141897,0.00141897
13,921.785,0.92006,0.88139,1.03285,0.93494,0.92734,0.93794,0.70646,0.84225,1.31922,0.95169,0.00151488,0.00151488,0.00151488
14,992.64,0.87713,0.8916,1.03674,1,0.9653,0.99235,0.76442,0.84301,0.95315,0.95247,0.0016071,0.0016071,0.0016071
15,1063.22,0.89724,0.92311,1.02843,0.93529,0.93263,0.95559,0.75454,0.76277,1.16545,0.94384,0.0016304,0.0016304,0.0016304
16,1133.95,0.91092,0.87959,1.01916,0.99639,0.93548,0.99136,0.78027,0.80282,0.98706,0.96909,0.001604,0.001604,0.001604
17,1204.59,0.8662,0.87925,1.01779,0.99797,0.93548,0.98741,0.77519,0.79295,1.00632,0.94919,0.0015776,0.0015776,0.0015776
18,1275.29,0.89736,0.89283,1.03268,0.70393,0.3871,0.42573,0.22669,1.25256,2.78951,1.52168,0.0015512,0.0015512,0.0015512
19,1345.98,0.89474,0.90043,1.04874,0.78505,0.77419,0.84905,0.62252,0.94613,1.45679,1.09824,0.0015248,0.0015248,0.0015248
20,1416.75,0.91548,0.86476,1.06921,0.93545,0.96774,0.94341,0.72261,0.91067,1.02428,1.03979,0.0014984,0.0014984,0.0014984
21,1487.33,0.91276,0.84441,1.04101,0.83025,0.96774,0.92246,0.67007,0.88011,1.12492,0.99173,0.001472,0.001472,0.001472
22,1558.21,0.8583,0.80336,1.02658,0.99567,1,0.995,0.77945,0.82473,0.85237,0.94632,0.0014456,0.0014456,0.0014456
