epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,563.263,1.08805,2.92317,1.05243,0.00404,0.7963,0.61684,0.4974,0.87331,3.97502,0.93787,0.00044,0.00044,0.00044
2,1123.73,1.14604,2.22352,1.09393,0.92333,0.22306,0.5481,0.36597,1.07021,3.96354,1.01038,0.00088812,0.00088812,0.00088812
3,1683.7,1.21384,2.07633,1.12411,0.75968,0.46296,0.53136,0.37438,1.25194,3.36748,1.08231,0.0013241,0.0013241,0.0013241
4,2247.43,1.30151,1.94342,1.14889,0.15974,0.53704,0.17196,0.12325,1.28247,17.0083,1.15038,0.00174793,0.00174793,0.00174793
5,2806.26,1.34172,1.82647,1.1385,0.65235,0.57407,0.59742,0.45489,1.16431,11.0017,1.10976,0.0018944,0.0018944,0.0018944
6,3364.93,1.25395,1.49124,1.11026,0.32833,0.61111,0.53266,0.35398,1.29771,11.2219,1.19953,0.001868,0.001868,0.001868
7,3923.82,1.28785,1.44051,1.10535,0.86008,0.62963,0.61661,0.46197,1.34968,4.46229,1.21324,0.0018416,0.0018416,0.0018416
8,4482.42,1.19235,1.25757,1.11083,0.99239,0.62963,0.67011,0.4845,1.21847,1.98126,1.05409,0.0018152,0.0018152,0.0018152
9,5041.6,1.12399,1.14436,1.10173,0.94566,0.96687,0.98214,0.73045,0.94922,1.51047,0.96536,0.0017888,0.0017888,0.0017888
10,5601.17,1.20999,1.10631,1.10174,0.98127,1,0.991,0.7497,0.94266,1.19498,0.9369,0.0017624,0.0017624,0.0017624
