epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8787,1.43294,3.79079,1.00989,0.00188,0.56522,0.13854,0.11346,1.19148,4.11321,0.87271,0.0003,0.0003,0.0003
2,74.1337,1.38888,2.22696,0.93894,0.78721,0.13043,0.13723,0.12637,1.28761,4.06244,0.84396,0.000611816,0.000611816,0.000611816
3,107.189,1.38053,2.19047,0.93535,0.00199,0.13043,0.13739,0.11326,1.62155,3.96093,0.95356,0.000915184,0.000915184,0.000915184
4,139.853,1.44775,2.05498,0.97248,0.72793,0.13043,0.14632,0.11088,1.2908,3.76928,0.92689,0.0012101,0.0012101,0.0012101
5,172.659,1.38167,1.95093,1.00891,0.97308,0.13043,0.1548,0.12162,1.31832,3.41922,0.93596,0.00149658,0.00149658,0.00149658
6,213.218,1.70111,2.11367,1.07271,0.62837,0.13043,0.15889,0.08138,1.51473,5.43473,1.08169,0.0017746,0.0017746,0.0017746
7,247.82,1.49104,1.88835,1.00782,0.11087,0.13043,0.12566,0.08989,1.23561,19.4931,1.10209,0.0018416,0.0018416,0.0018416
8,280.975,1.55448,1.63297,0.9811,0.17284,0.73913,0.30239,0.15674,1.45495,4.19358,1.18218,0.0018152,0.0018152,0.0018152
9,313.924,1.45025,1.41345,0.98031,0.48327,0.89482,0.67325,0.42936,1.1557,3.87047,0.98883,0.0017888,0.0017888,0.0017888
10,347.022,1.45538,1.34321,0.94049,0.40965,0.56522,0.44554,0.23168,1.29742,3.00979,0.95223,0.0017624,0.0017624,0.0017624
11,379.828,1.40596,1.25225,0.95169,0.68895,0.82609,0.81492,0.44168,1.36068,3.34593,0.98254,0.001736,0.001736,0.001736
12,413.417,1.50105,1.22882,0.9124,0.89435,0.73625,0.80118,0.49381,1.07557,1.94862,0.96581,0.0017096,0.0017096,0.0017096
13,446.705,1.45347,1.19278,0.90125,0.8465,0.95914,0.94214,0.55774,1.09663,1.38952,0.87757,0.0016832,0.0016832,0.0016832
14,479.769,1.3137,0.9991,0.93161,0.76862,0.91304,0.83905,0.578,0.8294,1.33363,0.85721,0.0016568,0.0016568,0.0016568
15,513.952,1.22953,0.96567,0.95441,0.91424,0.46435,0.73337,0.46046,1.06094,1.30239,0.87796,0.0016304,0.0016304,0.0016304
16,547.472,1.3748,0.94581,0.92628,0.97683,0.91304,0.9886,0.70322,0.98398,1.01555,0.89549,0.001604,0.001604,0.001604
